1,居民人均教育文化娱乐支出累计增长(%),居民人均医疗保健支出累计增长(%),城镇居民人均教育文化娱乐支出累计增长(%),城镇居民人均医疗保健支出累计增长(%),农村居民人均教育文化娱乐支出累计增长(%),农村居民人均医疗保健支出累计增长(%),居民人均教育文化娱乐支出累计增长(%),居民人均医疗保健支出累计增长(%),城镇居民人均教育文化娱乐支出累计增长(%),城镇居民人均医疗保健支出累计增长(%),农村居民人均教育文化娱乐支出累计增长(%),农村居民人均医疗保健支出累计增长(%),居民人均教育文化娱乐支出累计增长(%),居民人均医疗保健支出累计增长(%),城镇居民人均教育文化娱乐支出累计增长(%),城镇居民人均医疗保健支出累计增长(%),农村居民人均教育文化娱乐支出累计增长(%),农村居民人均医疗保健支出累计增长(%)
2014年第一季度,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
2014年第二季度,0.8085714285714286,1.074074074074074,0.8709677419354839,1.0396039603960396,0.6711711711711712,1.1477272727272727,-0.1914285714285714,0.07407407407407396,-0.12903225806451613,0.03960396039603964,-0.3288288288288288,0.1477272727272727,-0.1914285714285714,0.07407407407407418,-0.12903225806451613,0.03960396039603964,-0.3288288288288288,0.1477272727272727
2014年第三季度,1.302857142857143,1.1481481481481481,1.4150537634408602,1.1485148514851484,1.0495495495495495,1.1534090909090908,0.49428571428571433,0.07407407407407418,0.5440860215053763,0.10891089108910879,0.3783783783783783,0.005681818181818121,0.6113074204946995,0.06896551724137923,0.6246913580246913,0.10476190476190483,0.563758389261745,0.004950495049504955
2014年第四季度,1.2857142857142856,1.0905349794238683,1.3268817204301075,1.132013201320132,1.1666666666666667,1.0,-0.01714285714285735,-0.057613168724279795,-0.08817204301075265,-0.01650165016501637,0.11711711711711725,-0.15340909090909083,-0.013157894736842146,-0.05017921146953408,-0.06231003039513683,-0.014367816091954033,0.11158798283261806,-0.13300492610837433
2015年第一季度,0.9428571428571428,1.131687242798354,0.9720430107526882,1.1155115511551155,0.8693693693693694,1.1647727272727273,-0.34285714285714275,0.04115226337448563,-0.3548387096774194,-0.01650165016501659,-0.29729729729729737,0.1647727272727273,-0.2666666666666667,0.037735849056603765,-0.2674230145867099,-0.014577259475218707,-0.25482625482625487,0.1647727272727273
2015年第二季度,1.06,1.205761316872428,1.075268817204301,1.1914191419141915,1.0135135135135136,1.2215909090909092,0.11714285714285722,0.07407407407407396,0.10322580645161283,0.07590759075907605,0.14414414414414423,0.05681818181818188,0.12424242424242427,0.06545454545454543,0.10619469026548667,0.06804733727810652,0.16580310880829008,0.04878048780487809
2015年第三季度,1.42,1.2098765432098766,1.5440860215053762,1.2013201320132012,1.1126126126126126,1.2159090909090908,0.3599999999999999,0.004115226337448652,0.4688172043010752,0.009900990099009688,0.09909909909909898,-0.005681818181818343,0.3396226415094339,0.0034129692832765013,0.43599999999999994,0.008310249307479145,0.09777777777777774,-0.0046511627906976605
2015年第四季度,1.5085714285714285,1.2592592592592593,1.5397849462365591,1.2640264026402641,1.3828828828828827,1.2215909090909092,0.08857142857142852,0.04938271604938271,-0.004301075268817067,0.06270627062706291,0.2702702702702702,0.005681818181818343,0.0623742454728371,0.04081632653061229,-0.0027855153203342198,0.052197802197802234,0.2429149797570851,0.004672897196261738
2016年第一季度,1.2085714285714286,1.2469135802469136,1.2086021505376343,1.231023102310231,1.1846846846846848,1.2670454545454546,-0.2999999999999998,-0.012345679012345734,-0.33118279569892484,-0.03300330033003318,-0.19819819819819795,0.045454545454545414,-0.19886363636363635,-0.009803921568627416,-0.2150837988826816,-0.026109660574412552,-0.14332247557003253,0.037209302325581506
2016年第二季度,1.0514285714285714,1.3991769547325104,1.1118279569892473,1.386138613861386,0.8873873873873874,1.4034090909090908,-0.15714285714285725,0.1522633744855968,-0.09677419354838701,0.1551155115511551,-0.29729729729729737,0.13636363636363624,-0.1300236406619385,0.12211221122112215,-0.08007117437722422,0.126005361930295,-0.25095057034220536,0.10762331838565031
2016年第三季度,1.6057142857142859,1.3127572016460904,1.7247311827956988,1.3135313531353137,1.2882882882882882,1.2954545454545454,0.5542857142857145,-0.08641975308641991,0.6129032258064515,-0.07260726072607238,0.4009009009009008,-0.10795454545454541,0.5271739130434783,-0.061764705882352944,0.5512572533849129,-0.05238095238095242,0.4517766497461928,-0.07692307692307687
2016年第四季度,1.6142857142857143,1.4320987654320987,1.6344086021505375,1.462046204620462,1.472972972972973,1.3295454545454546,0.008571428571428452,0.11934156378600824,-0.0903225806451613,0.14851485148514842,0.1846846846846848,0.03409090909090917,0.005338078291814874,0.09090909090909083,-0.052369077306733125,0.11306532663316582,0.14335664335664333,0.026315789473684292
2017年第一季度,1.3714285714285714,1.448559670781893,1.3591397849462366,1.4158415841584158,1.3558558558558558,1.4829545454545454,-0.24285714285714288,0.016460905349794386,-0.27526881720430096,-0.04620462046204632,-0.11711711711711725,0.15340909090909083,-0.1504424778761062,0.011494252873563315,-0.16842105263157892,-0.03160270880361171,-0.07951070336391441,0.11538461538461542
2017年第二季度,1.1142857142857143,1.5102880658436213,1.1849462365591399,1.4785478547854787,0.8963963963963963,1.5397727272727273,-0.2571428571428571,0.061728395061728225,-0.17419354838709666,0.06270627062706291,-0.45945945945945943,0.05681818181818188,-0.1875,0.042613636363636465,-0.12816455696202533,0.04428904428904423,-0.3388704318936877,0.03831417624521083
2017年第三季度,1.7228571428571429,1.5185185185185186,1.8408602150537634,1.4785478547854787,1.3693693693693694,1.5681818181818183,0.6085714285714285,0.008230452674897304,0.6559139784946235,0.0,0.472972972972973,0.02840909090909105,0.5461538461538462,0.005449591280654031,0.5535390199637023,0.0,0.5276381909547738,0.01845018450184499
2017年第四季度,1.76,1.5061728395061729,1.7440860215053764,1.5016501650165015,1.6666666666666665,1.4431818181818181,0.037142857142857144,-0.012345679012345734,-0.09677419354838701,0.023102310231022827,0.29729729729729715,-0.12500000000000022,0.021558872305140975,-0.008130081300813052,-0.052570093457943945,0.015625,0.2171052631578947,-0.07971014492753625
2018年第一季度,1.2971428571428572,1.7448559670781894,1.3010752688172043,1.66996699669967,1.2252252252252251,1.8465909090909092,-0.46285714285714286,0.23868312757201648,-0.44301075268817214,0.16831683168316847,-0.4414414414414414,0.40340909090909105,-0.262987012987013,0.1584699453551912,-0.2540073982737361,0.11208791208791213,-0.2648648648648648,0.27952755905511806
2018年第二季度,1.3685714285714285,1.7983539094650207,1.378494623655914,1.7293729372937294,1.2657657657657657,1.875,0.0714285714285714,0.053497942386831365,0.07741935483870965,0.05940594059405946,0.04054054054054057,0.02840909090909083,0.05506607929515428,0.030660377358490587,0.05950413223140494,0.035573122529644285,0.03308823529411775,0.01538461538461533
2018年第三季度,1.7857142857142856,1.7119341563786008,1.8623655913978494,1.6468646864686467,1.5045045045045045,1.8011363636363638,0.41714285714285704,-0.08641975308641991,0.4838709677419355,-0.08250825082508273,0.23873873873873874,-0.07386363636363624,0.3048016701461378,-0.048054919908466776,0.35101404056162244,-0.04770992366412219,0.18861209964412806,-0.039393939393939426
2018年第四季度,1.9171428571428573,1.691358024691358,1.860215053763441,1.716171617161716,1.8828828828828827,1.5397727272727273,0.13142857142857167,-0.020576131687242816,-0.0021505376344084226,0.06930693069306937,0.3783783783783783,-0.26136363636363646,0.07360000000000011,-0.012019230769230727,-0.0011547344110854896,0.04208416833667328,0.25149700598802394,-0.1451104100946372
2019年第一季度,1.5657142857142858,1.9094650205761317,1.5182795698924731,1.8316831683168315,1.5810810810810811,1.9943181818181817,-0.3514285714285714,0.21810699588477367,-0.34193548387096784,0.11551155115511547,-0.3018018018018016,0.45454545454545436,-0.18330849478390465,0.12895377128953767,-0.18381502890173407,0.06730769230769229,-0.16028708133971292,0.2952029520295203
2019年第二季度,1.3885714285714286,1.9670781893004117,1.432258064516129,1.8745874587458746,1.1846846846846848,2.0852272727272725,-0.17714285714285727,0.05761316872428002,-0.08602150537634423,0.04290429042904309,-0.39639639639639634,0.09090909090909083,-0.11313868613138689,0.030172413793103425,-0.056657223796033995,0.023423423423423406,-0.2507122507122507,0.045584045584045496
2019年第三季度,2.097142857142857,1.9506172839506173,2.1483870967741936,1.858085808580858,1.8198198198198199,2.0625,0.7085714285714284,-0.016460905349794386,0.7161290322580647,-0.01650165016501659,0.6351351351351351,-0.022727272727272485,0.5102880658436213,-0.008368200836820106,0.5,-0.008802816901408494,0.5361216730038023,-0.010899182561307952
2019年第四季度,2.137142857142857,2.0123456790123457,2.064516129032258,1.9801980198019802,2.1036036036036037,1.9488636363636362,0.040000000000000036,0.06172839506172845,-0.08387096774193559,0.12211221122112215,0.28378378378378377,-0.11363636363636376,0.019073569482288777,0.03164556962025311,-0.03903903903903905,0.06571936056838368,0.15594059405940586,-0.05509641873278237
2020年第一季度,1.0,1.7160493827160495,1.0129032258064516,1.6303630363036303,0.9009009009009009,1.8181818181818183,-1.137142857142857,-0.2962962962962963,-1.0516129032258064,-0.34983498349834985,-1.2027027027027026,-0.1306818181818179,-0.5320855614973262,-0.14723926380368102,-0.509375,-0.17666666666666664,-0.5717344753747323,-0.06705539358600587
2020年第二季度,0.9,1.7777777777777777,0.8580645161290322,1.7128712871287128,0.9234234234234234,1.8181818181818183,-0.09999999999999998,0.061728395061728225,-0.15483870967741942,0.08250825082508251,0.022522522522522515,0.0,-0.09999999999999998,0.03597122302158273,-0.15286624203821653,0.0506072874493928,0.02499999999999991,0.0
2020年第三季度,1.7514285714285713,2.0205761316872426,1.7354838709677418,1.8943894389438944,1.6531531531531531,2.1875,0.8514285714285713,0.24279835390946491,0.8774193548387096,0.1815181518151816,0.7297297297297297,0.36931818181818166,0.946031746031746,0.13657407407407418,1.0225563909774436,0.10597302504816963,0.7902439024390244,0.203125
2020年第四季度,2.162857142857143,2.0823045267489713,1.9741935483870967,1.9405940594059405,2.4324324324324325,2.25,0.4114285714285715,0.06172839506172867,0.2387096774193549,0.0462046204620461,0.7792792792792793,0.0625,0.234910277324633,0.03054989816700604,0.1375464684014871,0.024390243902439046,0.4713896457765667,0.02857142857142847
2021年第一季度,1.5571428571428572,1.991769547325103,1.5182795698924731,1.933993399339934,1.5315315315315314,2.0056818181818183,-0.6057142857142856,-0.09053497942386834,-0.45591397849462356,-0.0066006600660064585,-0.900900900900901,-0.24431818181818166,-0.2800528401585205,-0.04347826086956519,-0.23093681917211328,-0.003401360544217691,-0.37037037037037035,-0.10858585858585856
2021年第二季度,1.6428571428571428,2.189300411522634,1.6301075268817204,2.0957095709570956,1.509009009009009,2.2556818181818183,0.08571428571428563,0.19753086419753108,0.1118279569892473,0.16171617161716156,-0.022522522522522515,0.25,0.05504587155963292,0.09917355371900816,0.07365439093484416,0.08361774744027306,-0.014705882352941124,0.12464589235127477
2021年第三季度,2.1399999999999997,2.234567901234568,2.0946236559139786,2.099009900990099,2.063063063063063,2.403409090909091,0.4971428571428569,0.04526748971193406,0.46451612903225814,0.0033003300330034513,0.554054054054054,0.14772727272727249,0.30260869565217385,0.020676691729323293,0.2849604221635884,0.0015748031496063408,0.3671641791044775,0.06549118387909325
2021年第四季度,2.0942857142857143,2.3004115226337447,1.90752688172043,2.201320132013201,2.31981981981982,2.3295454545454546,-0.045714285714285374,0.06584362139917666,-0.18709677419354853,0.1023102310231021,0.256756756756757,-0.07386363636363624,-0.021361815754339153,0.02946593001841613,-0.08932238193018482,0.04874213836477992,0.12445414847161573,-0.030732860520094607
2022年第一季度,1.6657142857142857,2.1728395061728394,1.5634408602150538,2.0858085808580857,1.7792792792792793,2.2272727272727275,-0.4285714285714286,-0.12757201646090532,-0.34408602150537626,-0.11551155115511547,-0.5405405405405406,-0.10227272727272707,-0.2046384720327421,-0.05545617173524153,-0.18038331454340473,-0.052473763118440764,-0.23300970873786409,-0.04390243902439028
2022年第二季度,1.2971428571428572,2.111111111111111,1.2193548387096773,1.9207920792079207,1.3513513513513513,2.3806818181818183,-0.36857142857142855,-0.061728395061728225,-0.3440860215053765,-0.16501650165016502,-0.427927927927928,0.15340909090909083,-0.22126929674099483,-0.02840909090909094,-0.2200825309491059,-0.07911392405063289,-0.240506329113924,0.06887755102040827
